,Job Title,Client,Job Description,Location
22176,Sr. Data Engineer,Allstate,Big Data Devops  Experience in performing operations and automation of various bigdata ecosystems in production environments on AWS or a related cloud service,
22178,Sr. Data Engineer,Allstate,Background in data modeling and performance tuning in relational and noSQL databases,
22190,Lead Metadata Engineer,Discover Financial Services,"Develop and maintain full stack solutions to fit business needs ― full stack solutions require one or more of the following: frontend (user interfaces), backend (APIs), database and DevOps development.",
22244,Data Engineer  Data Strategy Senior Consultant,CVS Health,"Accessing data, design summary data layers and manipulate large datasets to support planned analyses, using SAS, SQL and similar tools;",
22251,Big Data Machine Learning Engineer,Thusa Solutions,"The Engineer has responsibility for advising data scientists, Agile project teams, and solution architects in the integration of analytical models/methods into decision management solutions.","Chicago, IL 60007"
22253,Big Data Machine Learning Engineer,Thusa Solutions,"Experience in using NLP, Bi/Visual analytics, Graph Databases like Neo4j/Tiger Graph is preferred,","Chicago, IL 60007"
22254,Big Data Machine Learning Engineer,Thusa Solutions,"Programming in Python, R or Scala using distributed frameworks like PySpark, Spark, SparkR","Chicago, IL 60007"
22291,Senior Data Engineer,AbbVie,"Working experience on any of the reporting tools such as Qlik, ThoughtSpot, Tableau, Power BI etc.","Lake County, IL"
22292,Senior Data Engineer,AbbVie,"Implementation experience of Devops CICD automations, Docker, Kubernetes is preferred","Lake County, IL"
22295,Senior Data Engineer,AbbVie,Strong understanding of the software development cycle and experience with Agile delivery.,"Lake County, IL"
22340,Lead Business Data Analyst,Discover Financial Services,"Enhances, optimizes, and automates existing processes through analysis and provides functional specifications.",
22349,Lead Business Data Analyst,Discover Financial Services,"Candidate should be proficient in writing SQL queries to analyze data, profile data sets and able to logically connect data attributes and data assets across the Enterprise.",
22391,DevOps Architect/engineer,AbbVie,"Demonstrate knowledge of the pharmaceutical and healthcare business, and utilize this knowledge in the rapid advancement of agile, impactful, and costeffective solutions","Lake County, IL"
22395,"Solutions Engineer, Google for Education",Google,"Identify customer business requirements, create and develop solutions which address customer requirements and bring Google’s innovation into their school infrastructures.",
22396,"Solutions Engineer, Google for Education",Google,Promote Google for Education’s portfolio in both customerfacing meetings or public events.,
22397,"Solutions Engineer, Google for Education",Google,"Prepare and present demonstrations of Google products, and address technical questions that arise throughout the sales process.",
22417,Senior Data Scientist,AbbVie,Adhere to agile project management frameworks and set the direction of data science initiatives,"Lake County, IL"
22419,Senior Data Scientist,AbbVie,"Familiarity with Machine Learning solution offerings/operationalize from cloud providers such as AWS (ex. Sagemaker), Azure, GCP.","Lake County, IL"
22422,Senior Data Scientist,AbbVie,Familiarity with navigating in both a relational (Teradatabased) and nonrelational (Hadoop) environment. SQL skillset is strongly desired. Knowledge of Java/Scala/Apache Spark is a bonus,"Lake County, IL"
22424,Senior Data Scientist,AbbVie,"Capable of accessing external data sources through various APIs (e.g. google distance matrix, quandl financial data, etc.)","Lake County, IL"
22491,Senior Integration Data Analyst,tempus,"You'll work with clinical data experts, engineers, data scientists, and informatics analysts to ensure the quality of our data for analysis downstream and alignment with customer specific data specification pipelines.","Chicago, IL 60610"
22494,Senior Integration Data Analyst,tempus,"Work directly with hospital data teams to execute flawlessly the integration project scope including validation, testing, and data profiling.","Chicago, IL 60610"
22495,Senior Integration Data Analyst,tempus,"Assist with validation, monitoring, and troubleshooting of physical data delivery mechanisms, but more importantly assist with validation and remediation of data.","Chicago, IL 60610"
22497,Senior Integration Data Analyst,tempus,"Partner with DevOps and Engineering teams to continuously optimize and improve the performance, scalability, and faulttolerance of the integration layer","Chicago, IL 60610"
22501,"Senior Manager, Data Engineering",Integral Ad Science,"Collaborate with various IAS teams throughout the full software development lifecycle including CI/CD, Product, Architecture",
22526,Information Security Engineer (DEVOPS0001),Internet Truckstop LLC,Lead effort in auditing AWS Security Groups and other NACL's related to subnets for Production and lower environments,"Chicago, IL 60611"
22527,Information Security Engineer (DEVOPS0001),Internet Truckstop LLC,"Manage, Review and audit Identity and Access Management policies and roles in AWS","Chicago, IL 60611"
22528,Information Security Engineer (DEVOPS0001),Internet Truckstop LLC,"Review Kubernetes configuration templates for pods, namespaces and containers for vulnerabilities and standard InfoSec policies","Chicago, IL 60611"
22529,Information Security Engineer (DEVOPS0001),Internet Truckstop LLC,Assist Lead Network engineer in Network firewall configuration changes and implementation of automated solutions,"Chicago, IL 60611"
22547,Big Data Architect,Cogensia,"Management of EMR clusters, Glue Jobs, Athena Tables, S3 data lakes; with all included services","Schaumburg, IL 60195"
22549,Big Data Architect,Cogensia,"Work with geographically dispersed teams, embracing Agile and DevOps strategies for themselves and others while driving adoption to enable greater technology and business value","Schaumburg, IL 60195"
22554,Big Data Architect,Cogensia,"Proven experience with Big Data querying tools such as Athena/Presto, Pig, Hive, and Impala","Schaumburg, IL 60195"
22555,Big Data Architect,Cogensia,"Proven experience with various ETL techniques and frameworks, such as Flume, Glue Jobs, Step Functions","Schaumburg, IL 60195"
22569,Senior DevOps Engineer,Convr,Good handson experience in programming knowledge (Python or Shell script) to automate repeated tasks.,"Schaumburg, IL 60173"
22580,Principal Big Data Solutions Architect,Discover Financial Services,"Coordinating lead of a high performing, agile team focused on next generation data & analytic technologies",
22584,Principal Big Data Solutions Architect,Discover Financial Services,"Deliver containerbased solutions utilizing in our container platform as part of our cloud migration, app modernization and cloudnative development services on AWS",
22585,Principal Big Data Solutions Architect,Discover Financial Services,"Experience with big data tools such as Spark, Python, MongoDB, NoSQL based decision systems.",
22586,Principal Big Data Solutions Architect,Discover Financial Services,"Handson experience in Hadoop Ecosystem including Spark, Stream sets, MapReduce, Kafka as well as experience working with NoSQL Platforms.",
22587,Principal Big Data Solutions Architect,Discover Financial Services,Indepth knowledge on AWS Storage & Database Services and AWS Machine learning services.,
22591,"DevOps Engineer, Lead",Epsilon,"Manage capacity upgrades and migrations for the production environment, both onprem and AWS.","Chicago, IL 60606"
22592,"DevOps Engineer, Lead",Epsilon,Participate in the design and execution of significant platform architecture changes.,"Chicago, IL 60606"
22595,"DevOps Engineer, Lead",Epsilon,"Provide services and support to developers in infrastructure, maintaining CI/CD systems etc.","Chicago, IL 60606"
22604,Senior Devops Engineer (New York),tempus,"Familiarity with database design and tuning, especially with AWS Aurora MySQL and Postgresql","Chicago, IL 60610"
22605,Senior Devops Engineer (New York),tempus,Automates builds for artifacts of Node.js and Python services and Lambda functions,"Chicago, IL 60610"
22644,Software Developer in Test  Cloud,"PhysIQ, Inc.","Experience with virtualization and cloud services such as Kubernetes, Docker, and GCE/GKE","Chicago, IL 60607"
22647,Senior Software Engineer  DevOps,Nielsen,Build and troubleshoot software and integrations in a cloudbased microservices environment for big data applications,
22649,Senior DevOps Engineer II,"SMS Assist, LLC",Stay apprised of new developments in both Azure and AWS cloud operations and help in determining architectural solutions to enhance the stability and performance of the infrastructure.,
22654,Senior DevOps Engineer II,"SMS Assist, LLC",Build from the ground up reliable infrastructure services in AWS and Azure to deliver highly scalable services.,
